,AS,AT,CEc,CEe,CL,KNa,KNc,KNf,KNn,KNs,MCr,MCt,MCu,MS,QLl,QLq,SNs,VO
Gemini-2.5-Flash,3.93,6.71,5.7,4.39,5.31,5.04,6.14,4.89,4.75,7.07,4.64,4.96,4.44,7.45,4.75,4.49,6.23,5.17
Gemini-3.1-Flash,6.0,7.83,6.5,5.36,6.54,5.68,7.31,5.59,5.36,7.42,6.39,5.77,5.2,7.53,5.46,5.63,7.03,6.52
Gemini-3.1-Pro,7.28,8.42,7.16,6.98,6.16,6.39,7.31,5.73,5.61,7.82,6.52,5.67,5.75,8.4,5.66,5.23,7.4,7.58
LLaMA-4-17B-128E,3.74,4.04,4.19,3.75,4.16,5.13,5.91,4.58,4.72,6.48,3.96,4.51,4.09,6.39,4.09,4.05,4.29,3.55
GPT-5.2-Chat,3.88,4.85,4.9,4.3,4.71,5.34,6.07,4.9,4.8,7.09,5.81,5.0,4.36,6.98,4.91,4.65,4.71,4.66
OpenAI o3-mini,3.78,4.67,4.74,4.39,4.44,4.99,5.69,4.67,4.55,6.07,5.58,4.57,4.22,6.03,4.81,4.63,4.31,4.45
